time,signal
3.14,-0.3400000000000029
3.144,-0.355
3.148,-0.3483333333333328
3.152,-0.3183333333333313
3.156,-0.295
3.16,-0.283333333333335
3.164,-0.3
3.168,-0.2774999999999972
3.172,-0.255
3.176,-0.2433333333333343
3.18,-0.25
3.184,-0.2299999999999985
3.188,-0.1966666666666649
3.192,-0.165
3.196,-0.1533333333333335
3.2,-0.13
3.204,-0.1149999999999985
3.208,-0.095
3.212,-0.0533333333333313
3.216,-0.0133333333333313
3.22,0.0233333333333343
3.224,0.0433333333333343
3.228,0.06
3.232,0.1100000000000033
3.236,0.17
3.24,0.2150000000000044
3.244,0.255
3.248,0.3000000000000044
3.2520000000000002,0.36000000000000665
3.2560000000000002,0.40000000000000663
3.2600000000000002,0.42000000000000387
3.2640000000000002,0.4550000000000139
3.2680000000000002,0.5200000000000089
3.2720000000000002,0.5600000000000008
3.2760000000000002,0.5666666666666701
3.2800000000000002,0.5800000000000008
3.2840000000000003,0.5883333333333343
3.2880000000000003,0.5883333333333328
3.2920000000000003,0.5599999999999923
3.2960000000000003,0.5016666666666649
3.3000000000000003,0.474999999999997
3.3040000000000003,0.4483333333333313
3.3080000000000003,0.4099999999999918
3.3120000000000003,0.3316666666666597
3.3160000000000003,0.2583333333333313
3.3200000000000003,0.194999999999997
3.3240000000000003,0.1583333333333321
3.3280000000000003,0.1449999999999963
3.332,0.0900000000000066
3.336,0.03
3.34,-0.0199999999999977
3.344,-0.065
3.348,-0.0616666666666664
3.352,-0.0749999999999985
3.356,-0.095
3.36,-0.1416666666666642
3.364,-0.16
3.368,-0.16
3.372,-0.185
3.376,-0.2299999999999985
3.38,-0.2466666666666666
3.384,-0.245
3.388,-0.2583333333333333
3.392,-0.27
3.396,-0.265
3.4,-0.255
3.404,-0.2733333333333314
3.408,-0.335
3.412,-0.3383333333333343
3.416,-0.3183333333333333
3.42,-0.29
3.424,-0.3033333333333333
3.428,-0.33
3.432,-0.3375
3.436,-0.32
3.44,-0.3233333333333328
3.444,-0.335
3.448,-0.3333333333333343
3.452,-0.2966666666666666
3.456,-0.265
3.46,-0.2866666666666667
3.464,-0.315
3.468,-0.2925
3.472,-0.29
3.476,-0.3016666666666664
3.48,-0.295
3.484,-0.2733333333333336
3.488,-0.2766666666666666
3.492,-0.295
3.496,-0.2916666666666667
3.5,-0.24
3.504,-0.2316666666666666
3.508,-0.255
3.512,-0.2616666666666666
3.516,-0.2683333333333336
3.52,-0.2483333333333333
3.524,-0.2483333333333335
3.528,-0.25
3.532,-0.255
3.536,-0.225
3.54,-0.2266666666666666
3.544,-0.255
3.548,-0.2516666666666666
3.552,-0.2349999999999992
3.556,-0.225
3.56,-0.2416666666666671
3.564,-0.24
3.568,-0.2575
3.572,-0.275
3.576,-0.2916666666666666
3.58,-0.3050000000000007
3.584,-0.2966666666666666
